uid,most_freq_activity,proportion_running_walking
u00,0,0.0858220181778433
u01,0,0.06471774957777207
u02,0,0.057226483266921695
u03,0,0.01226537547216591
u04,0,0.10561148154874642
u05,0,0.037197310700587516
u07,0,0.0509669704342089
u08,0,0.06295370958262159
u09,0,0.06057764211197333
u10,0,0.038500712592651164
u12,0,0.039015792469027005
u13,0,0.033395637209090286
u14,0,0.09066202631258105
u15,0,0.03614536226697466
u16,0,0.045483536390293205
u17,0,0.03207043067147049
u18,0,0.02942024805307182
u19,0,0.036184004002899436
u20,0,0.02457947249843308
u22,0,0.04572034457494687
u23,0,0.02055815343881451
u24,0,0.053329917827738445
u25,0,0.06869590087399793
u27,0,0.028473325877528596
u30,0,0.06367044225969748
u31,0,0.04390000342260976
u32,0,0.07106504534334714
u33,0,0.04757527059602023
u34,0,0.04022549444124209
u35,0,0.03163538073821485
u36,0,0.05715946856603397
u39,0,0.0033509323404644917
u41,0,0.030088591958223346
u42,0,0.025230150153801933
u43,0,0.058186650945045944
u44,0,0.017348218978349695
u45,0,0.023501017509019947
u46,0,0.11488720827425526
u47,0,0.03368939190157398
u49,0,0.04927856957507332
u50,0,0.016188600702206835
u51,0,0.0680777968225404
u52,0,0.16925714711692572
u53,0,0.022364438258303077
u54,0,0.06352645778885677
u56,0,0.046730026527683745
u57,0,0.08728300426466737
u58,0,0.03856808138327846
u59,0,0.09007966106138328
