uid,mean_stress,std_stress,labels
u00,2.15189873418,1.37875937258,1
u01,2.0,1.50923085636,1
u02,1.77142857143,1.41594419353,1
u03,2.5,1.88258270657,1
u04,1.70212765957,1.02966413894,1
u05,2.07692307692,1.97918158927,1
u07,2.91525423729,1.68027576019,1
u08,1.70526315789,0.916212848294,1
u09,1.125,1.69096865731,0
u10,2.26785714286,1.51764704428,1
u12,1.91428571429,1.46133849743,1
u14,1.9512195122,0.909334238161,1
u15,0.9375,1.0879309491,0
u16,2.03571428571,1.10136742465,1
u17,2.55319148936,0.963338844483,1
u18,1.5,1.28452325787,0
u19,1.875,1.1016086722,1
u20,1.13333333333,1.25786415094,0
u22,2.24590163934,1.64621510959,1
u23,1.30612244898,1.07293383086,0
u24,1.58333333333,1.20473602457,1
u25,2.12,1.60798009938,1
u27,1.53333333333,1.14697670227,1
u30,2.51428571429,1.72992862894,1
u31,1.76470588235,1.73304939561,1
u32,2.23287671233,1.61771484309,1
u33,2.66666666667,1.30930734142,1
u34,1.09090909091,1.44313707876,0
u35,2.13636363636,1.67319657448,1
u36,1.27419354839,0.826366997255,0
u39,0.666666666667,0.471404520791,0
u41,1.46666666667,1.08730042869,0
u42,2.47368421053,1.9020327368,1
u43,1.76829268293,1.16135728508,1
u44,1.92391304348,1.40831147472,1
u45,2.69696969697,1.97690987034,1
u46,2.34210526316,1.43776719786,1
u47,1.38888888889,1.33910786591,0
u49,3.10606060606,1.64343310176,1
u50,0.888888888889,0.99380799,0
u51,1.28571428571,0.782460796436,0
u52,2.14893617021,1.6370539627,1
u53,1.37209302326,0.988850773278,0
u54,1.56,1.32905981807,1
u56,2.44,2.04117613155,1
u57,1.92537313433,1.20091299641,1
u58,1.87272727273,1.14502156319,1
u59,2.41635687732,1.5295940975,1
