total_location,unique_location,total_calls,total_conversations,mean_call_duration,std_call_duration,mean_duration_dark,std_dark,mean_lock_duration,std_lock,most_freq_activity,proportion_running_walking,mean_deadline,std_deadline,mean_sleep,std_sleep,mean_stress,std_stress,labels
20149,1045,1487,2179,764.026158788,1031.71294171,12134.0682927,8781.01518578,14280.3564815,9787.14760104,0.0,0.0647177495778,0.0,0.0,6.09375,2.84340657267,2.0,1.50923085636,1.0
27947,1320,1669,1483,849.729602158,1268.92550012,11389.0695187,9877.54638342,10340.1089744,8409.08583142,0.0,0.0572264832669,0.169014084507,0.41063041513,6.64516129032,3.08532830999,1.77142857143,1.41594419353,1.0
15251,265,1269,478,519.866108787,818.996453764,14019.7301587,9770.45643067,14850.0392157,10292.1079673,0.0,0.0122653754722,0.211267605634,0.472198721528,6.84848484848,3.48260797541,2.5,1.88258270657,1.0
30811,2023,1445,2737,550.232371209,714.069037632,11836.7126866,8169.6765585,14496.5518672,8605.63990585,0.0,0.105611481549,0.0985915492958,0.298112823782,5.78947368421,2.14178841572,1.70212765957,1.02966413894,1.0
23058,1036,1455,1640,662.570731707,1029.97113735,13043.0882353,10189.6011495,13357.5444444,10166.8750008,0.0,0.0371973107006,0.239436619718,0.488308051362,3.75,3.85411035995,2.07692307692,1.97918158927,1.0
57202,1641,1217,1373,588.976693372,957.855887835,13653.8092105,10223.9819212,15476.0718954,10430.1575541,0.0,0.0509669704342,0.281690140845,0.585820685721,5.8275862069,2.82926779266,2.91525423729,1.68027576019,1.0
40857,1294,1936,2560,588.649609375,821.793590241,10381.009434,7779.98548587,8540.22463768,5819.52353187,0.0,0.0629537095826,0.253521126761,0.523216214676,6.23913043478,3.43375053289,1.70526315789,0.916212848294,1.0
40184,1139,1565,2269,755.657117673,1065.97195363,11098.7539267,8662.29020822,14803.7442922,10298.6550866,0.0,0.060577642112,0.0985915492958,0.298112823782,3.0,3.87298334621,1.125,1.69096865731,0.0
36677,1155,1662,2260,510.745132743,794.380734265,11093.2442396,9030.63461546,9943.0166113,8159.51684553,0.0,0.0385007125927,0.253521126761,0.523216214676,6.90566037736,2.70055305966,2.26785714286,1.51764704428,1.0
12546,891,1845,1796,720.531737194,1019.08021195,10734.401487,9562.55524534,9373.5339233,7583.76870967,0.0,0.039015792469,0.380281690141,0.636145903698,6.375,3.39806930477,1.91428571429,1.46133849743,1.0
50474,704,1964,1915,418.838642298,636.566755349,14594.8157895,10972.4787645,10137.3401015,7948.99652327,0.0,0.0333956372091,0.154929577465,0.398867669254,1.33333333333,2.98142397,0.0,0.0,0.0
29934,1018,1400,1879,871.337945716,1298.62053605,13691.3265306,9765.66886303,11295.1382488,8518.1674031,0.0,0.0906620263126,0.352112676056,0.69401042224,5.97142857143,2.69905501226,1.9512195122,0.909334238161,1.0
9791,750,806,1052,734.803231939,917.618140397,14333.2857143,10162.5456818,15342.6896552,11312.4356949,0.0,0.036145362267,0.183098591549,0.483818705277,5.79166666667,3.25293670738,0.9375,1.0879309491,0.0
23568,980,1505,1723,596.967498549,880.920948802,10564.4355828,8368.19369214,10656.0371901,8457.73410121,0.0,0.0454835363903,0.211267605634,0.441364496225,7.34285714286,2.88783514708,2.03571428571,1.10136742465,1.0
