uid,mean_sleep,std_sleep
u00,6.2063492063492065,3.6608556990795877
u01,6.09375,2.8434065726694802
u02,6.645161290322581,3.0853283099918305
u03,6.8484848484848486,3.4826079754081558
u04,5.7894736842105265,2.1417884157237692
u05,3.75,3.8541103599490589
u07,5.8275862068965516,2.8292677926573817
u08,6.2391304347826084,3.433750532889249
u09,3.0,3.872983346207417
u10,6.9056603773584904,2.7005530596625369
u12,6.375,3.3980693047670467
u13,1.3333333333333333,2.98142396999972
u14,5.9714285714285715,2.6990550122558958
u15,5.791666666666667,3.252936707380305
u16,7.3428571428571425,2.8878351470841777
u17,4.2608695652173916,2.5912459870871896
u18,5.0,3.0884399845976511
u19,7.0655737704918034,3.2079248818880721
u20,4.5294117647058822,3.08921553070609
u22,6.6399999999999997,3.6973504026532296
u23,6.1379310344827589,3.2560197611345867
u24,5.0571428571428569,3.8688710582424588
u25,5.5499999999999998,3.3537292675468007
u27,4.0999999999999996,3.2078029864690882
u30,6.0499999999999998,2.8279851484758542
u31,3.75,2.9895651857753496
u32,7.365384615384615,3.2993521867286324
u33,6.1086956521739131,3.8120419090125508
u34,4.0,3.4399612400917157
u35,5.7999999999999998,2.8213471959331771
u36,6.5405405405405403,2.8531120476533287
u39,5.5714285714285712,3.5398604838182472
u41,5.8888888888888893,3.3314809667922112
u42,3.7599999999999998,4.0623146111545818
u43,6.2333333333333334,2.871507540570903
u44,8.3492063492063497,3.2570252771252335
u45,5.3125,3.6523750834217452
u46,4.9655172413793105,2.8464467701364056
u47,4.2142857142857144,3.7067230700940348
u49,6.0652173913043477,3.9967496245620233
u50,3.7272727272727271,3.5185459055206598
u51,6.1538461538461542,3.2780424234865411
u52,5.7931034482758621,3.5367948703332646
u53,5.6944444444444446,3.9427813395315279
u54,3.7222222222222223,2.7849906354431737
u56,7.2222222222222223,4.1840378630583839
u57,7.4918032786885247,2.5647225320136986
u58,7.2586206896551726,1.7475139467411116
u59,6.095890410958904,3.6980720025353002
